num_prune,BoolQ,PIQA,HellaSwag,WinoGrande,ARC-easy,ARC-challenge,OpenBookQA,MathQA,mean_acc
4,69.79,74.65,53.54,72.22,74.96,43.86,30.2,33.74,56.62
6,70.37,71.82,49.4,70.32,66.96,39.51,26.6,29.15,53.02
8,71.8,67.85,43.84,68.98,56.57,35.32,21.2,26.5,49.01
10,64.77,63.87,36.93,59.83,48.36,33.19,21.0,18.96,43.36
12,45.81,62.89,34.12,61.01,40.45,26.96,17.6,21.31,38.77
14,40.03,60.72,31.43,55.88,37.84,26.45,16.4,21.27,36.25
16,40.67,58.0,29.37,52.25,33.88,24.91,14.8,21.01,34.36
16,40.67,58.0,29.37,52.25,33.88,24.91,14.8,21.01,34.36
