num_prune,BoolQ,PIQA,HellaSwag,WinoGrande,ARC-easy,ARC-challenge,OpenBookQA,MathQA,mean_acc
4,70.55,75.73,55.04,70.32,72.22,44.2,31.2,32.6,56.48
6,71.99,72.52,49.98,68.51,63.93,39.59,25.4,30.08,52.75
8,37.55,60.5,28.21,54.3,42.85,27.3,18.0,25.76,36.81
10,52.17,60.94,27.64,57.62,44.15,28.75,18.2,24.22,39.21
12,55.96,60.12,30.62,55.09,40.03,27.56,17.8,22.28,38.68
14,62.39,57.13,29.43,57.3,36.11,25.51,17.6,20.57,38.25
16,62.45,56.37,27.31,54.06,33.59,24.06,16.0,22.41,37.03
